Username,Comment,Rating,Time,IdProduct
t*****8,"Điện thoại đẹp
Điện thoại hiện đại
Điện thoại dùng tốt
Chất liệu tốt
Sản phẩm đúng theo yêu cầu đề ra
Màu điện thoại đẹp ốp đẹp
Hình các chi tiết đẹp",5,2021-11-16 17:53:22,10753341705
sweetgirl214,Chất lượng tuyệt vời lun màu hồng đúng đỉnh luôn ạ mua đi mọi ngừi,5,2021-11-15 15:39:41,10753341705
h*****5,"Nhận được hàng trong vòng 24h kể từ lúc đặt, hàng hot nên hên mới mua kịp, nhất là màu hồng này, công nhận dân mình giàu quá 😀.
Đã mở lên và tự động kích hoạt bảo hành không gặp vấn đề gì, máy đẹp, mượt mà.
Giá mình mua sale là 20990k, nếu ai có thẻ tín dụng giảm thêm 2tr nữa.",5,2021-10-23 13:12:20,10753341705
nicholasnguyen251,"Hàng chính hãng, giao hàng nhanh. Mấy bạn kinh  doanh làm giá quá tốt so với thị trường",5,2021-10-23 13:18:47,10753341705
giang_vu19,"Hàng chính hãng, gửi hoá đơn điện tử nhanh chóng, thích lắm ạ….",5,2021-11-25 21:28:34,10753341705
phuc02101985,Quá đẹp,5,2021-12-30 19:29:11,10753341705
nhieppeter1997,,5,2021-12-29 18:58:13,10753341705
nguyenhoangbaotho,,5,2021-12-17 14:11:06,10753341705
vimom1911,"Đẹp , giao hàng rất chậm",4,2021-12-20 14:22:30,10753341705
halaycomet89,,5,2021-12-18 21:17:55,10753341705
t*****1,,5,2021-12-17 21:27:49,10753341705
huydinh39,,5,2021-12-18 12:49:08,10753341705
q*****3,,5,2021-12-17 11:14:12,10753341705
hong_hanh_2002,,5,2021-12-19 17:22:41,10753341705
ladostore.96,,5,2021-12-20 16:55:46,10753341705
cuongree,,5,2021-12-16 22:29:59,10753341705
anvat_teetee,"Hàng chính hãng, săn sale ngon",5,2021-12-18 18:39:19,10753341705
n*****3,,5,2021-12-17 20:19:19,10753341705
historesg,,5,2021-12-03 14:41:14,10753341705
ca_com,,5,2021-11-25 07:31:27,10753341705
tuan0966388496,,5,2021-12-05 20:37:41,10753341705
thuanem111112,,5,2021-11-23 13:31:39,10753341705
doitoilavang,,5,2021-11-18 13:40:43,10753341705
huyle22121993,Sản phẩm ok,5,2021-11-22 13:11:09,10753341705
ngochan18111999,,5,2021-11-17 11:28:58,10753341705
